GEOID,cGrade,dGrade,cdGrade,ALAND,totalPop,totalPop_m,white,white_m,black,black_m,otherRace,medianInc,medianInc_m,poverty,poverty_m,povertyB,povertyB_m,medicaid,house,house_m,tanf,tanf_m,tanfProp,snap,snap_m,snapProp,own,own_m,ownProp,rent,rent_m,rentProp,unins.x,unins_ml.x,unins_mh.x,asthma,asthma_ml,asthma_mh,obesity,obesity_ml,obesity_mh,dental,dental_ml,dental_mh,unins.y,unins_ml.y,unins_mh.y
29510115300,925.1274100542068,0,925.1274100542068,1654581,5167,598,2532,323,1877,496,758,40041,9359,1250,430,568,310,1286,1932,154,18,20,0.009316770186335404,447,131,0.23136645962732919,1138,122,0.5890269151138716,794,157,0.4109730848861284,23.4,20.6,26.3,10.9,10.3,11.6,34.6,33.4,35.6,45.3,41.6,49.3,23.4,20.6,26.3
29510117200,305091.62173080444,59841.507427215576,364933.12915802,1267634,5171,664,2715,389,2133,476,323,54441,7685,1239,541,663,392,773,2368,191,30,29,0.01266891891891892,375,145,0.15836148648648649,1228,184,0.518581081081081,1140,218,0.4814189189189189,14.4,11.7,17.6,10.4,9.8,11.1,33.5,32,35.1,58.6,54.1,63.3,14.4,11.7,17.6
29510109700,577528.7806082368,0,577528.7806082368,3545652,2488,434,258,153,2202,391,28,18482,3583,1392,372,1183,320,1241,891,107,73,37,0.0819304152637486,453,90,0.5084175084175084,322,61,0.3613916947250281,569,106,0.6386083052749719,31.7,27.3,36.2,14.2,13.1,15.3,49.2,47.8,50.6,32.7,28.7,36.9,31.7,27.3,36.2
29510106200,697254.2262898535,0,697254.2262898535,1078872,1436,403,14,23,1396,403,26,12479,8852,913,377,883,377,851,521,87,100,60,0.19193857965451055,247,78,0.4740882917466411,189,58,0.362763915547025,332,76,0.6372360844529751,33.4,29.3,37.3,14.3,13.4,15.3,48.8,47.6,50,29.8,26.1,33.5,33.4,29.3,37.3
29510109600,0,0,0,2906394,2986,420,68,50,2875,434,43,31019,9581,759,405,738,407,971,1196,123,66,51,0.05518394648829431,419,139,0.3503344481605351,603,132,0.504180602006689,593,156,0.49581939799331104,22.2,18.7,25.7,12.4,11.7,13.2,44.1,42.7,45.5,41,37.3,45,22.2,18.7,25.7
29510118100,28515.045831002295,575516.9562373795,604032.0020683818,1563757,1234,210,440,112,766,193,28,31994,8381,373,166,329,160,374,585,82,41,26,0.07008547008547009,159,48,0.2717948717948718,207,46,0.35384615384615387,378,79,0.6461538461538462,18.6,15.4,22.1,11.1,10.5,11.9,38.1,36.5,39.7,47.1,42.8,51.9,18.6,15.4,22.1
29510117400,39100.18230819702,0,39100.18230819702,1146088,4635,496,2921,341,1344,464,370,48715,10700,609,223,202,126,778,1997,132,22,23,0.011016524787180772,261,105,0.13069604406609914,904,116,0.4526790185277917,1093,151,0.5473209814722083,12.9,11.5,14.5,9.6,9.3,10,31.2,30.3,32,63.6,61.2,66,12.9,11.5,14.5
29510126700,529445.8524961919,466633.7955839634,996079.6480801553,2246811,1173,201,414,158,734,179,25,18700,4885,543,174,357,140,396,512,68,16,20,0.03125,269,67,0.525390625,207,56,0.404296875,305,61,0.595703125,25.4,21.8,29.3,13,12.1,13.8,45,43.5,46.2,33.2,29.7,37,25.4,21.8,29.3
29510119102,40493.4926905632,241925.4126471877,282418.9053377509,581750,3159,343,1902,259,629,197,628,40959,9710,951,269,137,87,214,1651,128,75,51,0.04542701393095094,107,61,0.06480920654149,493,70,0.2986069049061175,1158,118,0.7013930950938825,11.5,9.2,14.9,8.7,8.3,9.4,26.3,25.1,27.6,64.6,60,68.1,11.5,9.2,14.9
29510126800,1349587.4006211217,0,1349587.4006211217,2792747,3375,263,2918,270,209,102,248,50603,4994,286,106,18,20,171,1741,109,20,22,0.011487650775416428,111,53,0.06375646180356118,1141,104,0.6553704767375071,600,96,0.3446295232624928,12.8,11,14.7,9.2,8.8,9.7,28.7,27.7,29.7,64.2,60.8,67.6,12.8,11,14.7
29510126900,372006.17517502233,0,372006.17517502233,4336781,4207,706,70,64,4079,700,58,26580,4293,1540,714,1512,713,1471,1629,136,65,42,0.03990178023327195,508,141,0.3118477593615715,1018,153,0.6249232658072437,611,155,0.3750767341927563,25.9,21.7,30,13.1,12.4,14,45.9,44.3,47.3,37.8,33.8,41.9,25.9,21.7,30
29510127000,0,0,0,10530448,1978,271,317,85,1652,258,9,27500,7762,354,165,321,160,336,578,83,4,8,0.006920415224913495,186,65,0.3217993079584775,201,60,0.3477508650519031,377,82,0.6522491349480969,31,25.4,36.4,12.1,11.2,13.3,38.9,37.2,40.4,35.1,29.9,41.1,31,25.4,36.4
29510127400,0,1487229.6852960214,1487229.6852960214,3313716,5817,653,1877,429,3832,791,108,34893,16038,2606,686,2271,696,3054,2243,129,186,152,0.08292465448060633,957,225,0.42666072224699064,776,157,0.34596522514489525,1467,214,0.6540347748551048,19.9,16.4,23.8,11.8,11.1,12.6,39,37.5,40.6,44.9,40.5,49.5,19.9,16.4,23.8
29510123100,184090.8317967467,627965.4378268719,812056.2696236186,1031109,3669,446,1117,181,2458,458,94,46883,6616,635,197,528,190,617,1528,115,8,13,0.005235602094240838,356,130,0.23298429319371727,741,125,0.4849476439790576,787,144,0.5150523560209425,15.1,12.7,17.8,10.6,10,11.2,35.5,34,36.9,57.1,52.9,60.9,15.1,12.7,17.8
29510126600,0,1924882.176714424,1924882.176714424,3250755,3618,450,744,214,2859,406,15,22521,6450,1386,366,1240,336,1500,1203,105,88,54,0.07315045719035744,639,116,0.5311720698254364,316,86,0.2626766417290108,887,113,0.7373233582709892,26.9,23.5,30.4,12.7,11.9,13.5,44.8,43.4,46,35.4,32,38.9,26.9,23.5,30.4
29510114102,0,0,0,1586580,4282,297,4142,295,132,105,8,56993,11716,237,128,60,57,251,2049,136,63,50,0.03074670571010249,80,57,0.03904343582235237,1023,124,0.4992679355783309,1026,156,0.5007320644216691,8.2,6.4,10.5,8.5,8,9.2,25.4,23.9,27.1,70.9,66.1,75.1,8.2,6.4,10.5
29510116302,8044.583298206329,0,8044.583298206329,616467,2783,343,604,273,1009,262,1170,25445,3579,944,319,323,175,1168,1265,151,10,16,0.007905138339920948,474,175,0.37470355731225297,272,111,0.2150197628458498,993,179,0.7849802371541502,29.2,26,32.5,11.7,11.1,12.4,38.6,37.5,39.7,39,35.8,42.3,29.2,26,32.5
